Nome,Matematica,Portugues,Historia,Geografia,Média,Email
Gabriel,5,8,6,1,5.0,gabriel@email.com
Ana,4,3,7,3,4.25,ana@email.com
Jorge Willem,1,4,2,8,3.75,jorgewillem@email.com
Mariana Souza,7,9,6,8,7.5,marianasouza@email.com
Lucas Ferreira,3,5,4,2,3.5,lucas.ferreira@email.com
Beatriz Lima,9,7,8,9,8.25,beatriz.lima@email.com
Ricardo Alves,6,6,5,6,5.75,ricardo.alves@email.com
Larissa Martins,2,3,1,4,2.5,larissa.martins@email.com
Fernando Costa,10,9,9,10,9.5,fernando.costa@email.com
Juliana Rocha,4,6,5,7,5.5,juliana.rocha@email.com
