Nome,Matematica,Portugues,Historia,Geografia,Média,Email,Situação
Gabriel,5,8,6,1,5.0,gabriel@email.com,Reprovado
Ana,4,3,7,3,4.25,ana@email.com,Reprovado
Jorge Willem,1,4,2,8,3.75,jorgewillem@email.com,Reprovado
Mariana Souza,7,9,6,8,7.5,marianasouza@email.com,Aprovado
Lucas Ferreira,3,5,4,2,3.5,lucas.ferreira@email.com,Reprovado
Beatriz Lima,9,7,8,9,8.25,beatriz.lima@email.com,Aprovado
Ricardo Alves,6,6,5,6,5.75,ricardo.alves@email.com,Reprovado
Larissa Martins,2,3,1,4,2.5,larissa.martins@email.com,Reprovado
Fernando Costa,10,9,9,10,9.5,fernando.costa@email.com,Aprovado
Juliana Rocha,4,6,5,7,5.5,juliana.rocha@email.com,Reprovado
